title,tag,info,comments,content
心若菩提,豆瓣图书标签: 人物传记,曹德旺 / 人民出版社 / 2015-1 / 49.00,(783人评价),曹德旺1946年出生于福建福清高山，9岁上学，14岁辍学，卖过烟丝、贩过水果、修过板车。1983年承包高山异型玻璃厂。1985年将主业迅速转向汽车玻璃，彻底...
硅谷钢铁侠,豆瓣图书标签: 人物传记,[美] 阿什利·万斯 / 周恒星 / 中信出版集团 / 2016-4 / 68.00元,(6143人评价),"◎全球首部埃隆•马斯克授权著作！了解埃隆•马斯克最全面、最真实、最经典读本
◎创业者必读。首次披露马斯克如何建立和运营PayPal、特斯拉、Space X、..."
杜月笙传（上.中.下）,豆瓣图书标签: 人物传记,章君榖 著、陆京士 校订 / 中国大百科全书出版社 / 2011-1 / 158.00元,(819人评价),"台湾《传记文学》杂志唯一正式授权版本。
最权威的杜月笙传记，再现上海滩风华与民国恢宏历史
完整收录杜月笙其人生平史料，极具史料价值
历时十余年，详细采录杜月..."
﻿艺术的故事,豆瓣图书标签: 艺术史,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 / 广西美术出版社 / 2008-04 / 280.00,(11339人评价),《艺术的故事》概括地叙述了从最早的洞窟绘画到当今的实验艺术的发展历程，以阐明艺术史是“各种传统不断迂回、不断改变的历史，每一件作品在这历史中都既回顾过去又导...
现代艺术150年,豆瓣图书标签: 艺术史,[英] 威尔·贡培兹 / 王烁、王同乐 / 理想国 | 广西师范大学出版社 / 2017-3 / 65.00元,(4705人评价),要掌握现代艺术的游戏规则，你需要知道些什么？——涵括近百位艺术家及其代表作，梳理二十多个现代艺术流派的渊源流变，勾勒现代艺术的发展历程。这一百五十年来艺术究...
写给大家的西方美术史,豆瓣图书标签: 艺术史,蒋勋 / 湖南美术出版社 / 2015-7-1 / CNY 68.00,(6839人评价),以时间为纬线，以各个艺术流派的艺术家及其代表性的作品为经线，回到历史现场，从史前时期的一把燧石手斧开始，围绕地中海这一世界西方美术的血脉初源，带你一路走过神...
美的历程,豆瓣图书标签: 艺术史,李泽厚 / 生活·读书·新知三联书店 / 2009-1-1 / 43.00元,(11667人评价),本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更...
新艺术运动,豆瓣图书标签: 艺术史,[英] 斯蒂芬·埃斯克里特 / 刘慧宁 / 后浪丨湖南美术出版社 / 2019-7 / 128.00元,(50人评价),"在历史语境中理解艺术
探索视觉形式背后的观念
20世纪现代设计史上的光辉篇章
美感与灵感的源泉，现代装饰界的璀璨明珠
◎ 编辑推荐
☆ 详实清晰，带领读者走..."
中国艺术与文化（全彩修订版）,豆瓣图书标签: 艺术史,[美] 杜朴、[美] 文以诚 / 张欣 / 后浪丨湖南美术出版社 / 2019-10 / 258.00元,(20人评价),"中国艺术史的书写典范
全美多所名校指定读本
郑岩作序，巫鸿、安家瑶、朱青生联合推荐
「编辑推荐」
☆ 中文版第 3 次修订，更准确、更完善
☆ 举重若轻还原..."
加德纳艺术通史,豆瓣图书标签: 艺术史,弗雷德·S. 克莱纳、克里斯廷·J. 马米亚 / 李建群等 / 湖南美术出版社 / 2013-1 / 298.00元,(877人评价),"根据西方艺术史界享有盛名的《加德纳艺术通史》的第12版翻译出版。
著名学者海伦•加德纳的《世界艺术史》自1926年首次出版以来，因广受好评而不断再版，成为读..."
艺术的故事,豆瓣图书标签: 艺术史,[英]E.H.贡布里希 / 范景中、杨成凯 / 广西美术出版社 / 2015-7 / 320.00元,(644人评价),《艺术的故事》是艺术书籍中最著名、最流行的著作。它概述了从最早的洞窟绘画到当今的实验艺术的发展历程，出版50多年来，一直是这一领域无可匹敌的入门书。全世界不...
里帕图像手册,豆瓣图书标签: 艺术史,[意]切萨雷·里帕（Cesare Ripa） / [英]P.坦皮斯特、李骁 中译、陈平 校译 / 北京大学出版社 / 2019-8 / 72.00,(25人评价),《里帕图像手册》是西方世界影响最为深远的一部图像志手册，首版于1593年。它不仅是当时艺术家、诗人以及艺术爱好者人手必备的参考书，也是后世艺术史研究者描述与...
图说敦煌二五四窟,豆瓣图书标签: 艺术史,陳海濤、陳琦 / 生活·读书·新知三联书店 / 2017-11 / 96.00元,(771人评价),敦煌莫高窟是中国古代艺术的宝库，完整保存了自北凉到元代绵延一千余年的佛教石窟艺术，至今仍有492座洞窟存留壁画及彩塑。本书旨在以一座曾令张大千、常书鸿、董希...
